Level;Description;Number;Onset_Date;Onset_Time;Offset_Date;Offset_Time;Duration_Date;Duration_Time;Mutual;Avert;Refer;Follow;Share;Single gaze;Supporting gesture;Supporting behavior;Transcript
1;;1;0d;00:00:00.000;0d;00:00:00.000;0d;00:00:00.040;;;;;;;;;
2;;2;0d;00:00:00.000;0d;00:00:00.000;0d;00:00:00.040;;;;;;;;;"Video: ""V:\RCT-Studie\Diagnostikvideos\FRA\038\T5\ESCS\FRA_038_T5_ESCS_Kam1.MP4"", OffsetMs: 58040<BR>Video: ""V:\RCT-Studie\Diagnostikvideos\FRA\038\T5\ESCS\FRA_038_T5_ESCS_Kam2.MP4"", OffsetMs: 74440<BR><BR>"
3;;3;0d;00:00:00.000;0d;00:00:00.000;0d;00:00:00.040;;;;;;;;;
3;;4;0d;00:00:01.520;0d;00:00:01.760;0d;00:00:00.280;;;Refer -T;;;;;;
3;;5;0d;00:00:01.520;0d;00:00:02.920;0d;00:00:01.440;;;;;;;Supporting behavior- T;;gesture, language
3;;6;0d;00:00:01.720;0d;00:00:01.760;0d;00:00:00.080;;;;Follow - CT;;;;;
3;;7;0d;00:00:01.760;0d;00:00:03.080;0d;00:00:01.360;;;;;Share - CT;;;;
3;;8;0d;00:00:03.080;0d;00:00:04.440;0d;00:00:01.400;;Avert - CT;;;;;;;
3;;9;0d;00:00:04.440;0d;00:00:04.800;0d;00:00:00.400;Mutual - CT;;;;;;;;
3;;10;0d;00:00:04.800;0d;00:00:05.040;0d;00:00:00.280;;;Refer - CT;;;;;;
3;;11;0d;00:00:05.000;0d;00:00:05.040;0d;00:00:00.080;;;;Follow - T;;;;;
3;;12;0d;00:00:05.040;0d;00:00:06.680;0d;00:00:01.680;;;;;Share - CT;;;;
3;;13;0d;00:00:06.680;0d;00:00:07.200;0d;00:00:00.560;Mutual - CT;;;;;;;;
3;;14;0d;00:00:07.200;0d;00:00:07.520;0d;00:00:00.360;;;Refer - CT;;;;;;
3;;15;0d;00:00:07.520;0d;00:00:07.560;0d;00:00:00.080;;;;Follow - T;;;;;
3;;16;0d;00:00:07.560;0d;00:00:07.760;0d;00:00:00.240;;;;;Share - CT;;;;
3;;17;0d;00:00:07.760;0d;00:00:08.400;0d;00:00:00.680;;Avert - CT;;;;;;;
3;;18;0d;00:00:08.320;0d;00:00:08.440;0d;00:00:00.160;;;Refer -T;;;;;;
3;;19;0d;00:00:08.400;0d;00:00:08.520;0d;00:00:00.160;;;;Follow - CT;;;;;
3;;20;0d;00:00:08.520;0d;00:00:09.040;0d;00:00:00.560;;;;;Share - CT;;;;
3;;21;0d;00:00:09.040;0d;00:00:09.200;0d;00:00:00.200;;Avert -T;;;;;;;
3;;22;0d;00:00:09.200;0d;00:00:09.320;0d;00:00:00.160;;;Refer -T;;;;;;
3;;23;0d;00:00:09.320;0d;00:00:09.520;0d;00:00:00.240;;;;Follow - CT;;;;;
3;;24;0d;00:00:09.520;0d;00:00:10.640;0d;00:00:01.160;;;;;Share - CT;;;;
3;;25;0d;00:00:10.560;0d;00:00:12.720;0d;00:00:02.200;;;;;;;Supporting behavior- T;;gesture, sound
3;;26;0d;00:00:10.760;0d;00:00:12.400;0d;00:00:01.680;;Avert - CT;;;;;;;
3;;27;0d;00:00:12.400;0d;00:00:13.040;0d;00:00:00.680;;;;;Share - CT;;;;
3;;28;0d;00:00:13.040;0d;00:00:13.760;0d;00:00:00.760;Mutual - CT;;;;;;;;
3;;29;0d;00:00:13.760;0d;00:00:14.160;0d;00:00:00.440;;;Refer -T;;;;;;
3;;30;0d;00:00:14.120;0d;00:00:14.160;0d;00:00:00.080;;;;Follow - CT;;;;;
3;;31;0d;00:00:14.160;0d;00:00:17.160;0d;00:00:03.040;;;;;Share - CT;;;;
3;;32;0d;00:00:18.400;0d;00:00:19.640;0d;00:00:01.280;;Avert - CT;;;;;;;
3;;33;0d;00:00:19.760;0d;00:00:22.320;0d;00:00:02.600;;;;;Share - CT;;;;
3;;34;0d;00:00:22.400;0d;00:00:22.920;0d;00:00:00.560;Mutual - CT;;;;;;;;
3;;35;0d;00:00:23.240;0d;00:00:23.520;0d;00:00:00.320;;;;;Share - CT;;;;
3;;36;0d;00:00:23.520;0d;00:00:24.080;0d;00:00:00.600;;Avert - CT;;;;;;;
3;;37;0d;00:00:23.880;0d;00:00:24.160;0d;00:00:00.320;;;Refer -T;;;;;;
3;;38;0d;00:00:24.080;0d;00:00:24.160;0d;00:00:00.120;;;;Follow - CT;;;;;
3;;39;0d;00:00:24.160;0d;00:00:24.600;0d;00:00:00.480;;;;;Share - CT;;;;
3;;40;0d;00:00:24.680;0d;00:00:25.160;0d;00:00:00.520;Mutual - CT;;;;;;;;
3;;41;0d;00:00:25.160;0d;00:00:25.600;0d;00:00:00.480;;;Refer - CT;;;;;;
3;;42;0d;00:00:25.560;0d;00:00:25.600;0d;00:00:00.080;;;;Follow - T;;;;;
3;;43;0d;00:00:25.600;0d;00:00:25.880;0d;00:00:00.320;;;;;Share - CT;;;;
3;;44;0d;00:00:25.920;0d;00:00:26.160;0d;00:00:00.280;;Avert - CT;;;;;;;
3;;45;0d;00:00:26.160;0d;00:00:26.440;0d;00:00:00.320;;;Refer - CT;;;;;;
3;;46;0d;00:00:26.240;0d;00:00:26.440;0d;00:00:00.240;;;;Follow - T;;;;;
3;;47;0d;00:00:26.440;0d;00:00:27.080;0d;00:00:00.680;;;;;Share - CT;;;;
3;;48;0d;00:00:27.680;0d;00:00:29.800;0d;00:00:02.160;;;Refer - CT;;;;;;
3;;49;0d;00:00:29.720;0d;00:00:29.800;0d;00:00:00.120;;;;Follow - T;;;;;
3;;50;0d;00:00:29.760;0d;00:00:32.320;0d;00:00:02.600;;;;;;;Supporting behavior- CT;;point, language
3;;51;0d;00:00:29.800;0d;00:00:40.040;0d;00:00:10.280;;;;;Share - CT;;;;
3;;52;0d;00:00:34.880;0d;00:00:36.960;0d;00:00:02.120;;;;;;;Supporting behavior- T;;language
3;;53;0d;00:00:37.040;0d;00:00:39.880;0d;00:00:02.880;;;;;;;Supporting behavior- T;;point, language
3;;54;0d;00:00:40.040;0d;00:00:41.040;0d;00:00:01.040;Mutual - CT;;;;;;;;
3;;55;0d;00:00:40.160;0d;00:00:42.040;0d;00:00:01.920;;;;;;;Supporting behavior- T;;language, gesture
3;;56;0d;00:00:41.280;0d;00:00:42.000;0d;00:00:00.760;;;Refer - CT;;;;;;
3;;57;0d;00:00:41.960;0d;00:00:42.040;0d;00:00:00.120;;;;Follow - T;;;;;
3;;58;0d;00:00:42.040;0d;00:00:44.360;0d;00:00:02.360;;;;;Share - CT;;;;
3;;59;0d;00:00:44.360;0d;00:00:44.560;0d;00:00:00.240;Mutual - CT;;;;;;;;
3;;60;0d;00:00:44.360;0d;00:00:44.600;0d;00:00:00.280;Mutual - CT;;;;;;;;
3;;61;0d;00:00:44.560;0d;00:00:44.800;0d;00:00:00.280;;;Refer -T;;;;;;
3;;62;0d;00:00:44.760;0d;00:00:44.800;0d;00:00:00.080;;;;Follow - CT;;;;;
3;;63;0d;00:00:44.800;0d;00:00:45.080;0d;00:00:00.320;;;;;Share - CT;;;;
3;;64;0d;00:00:44.800;0d;00:00:45.200;0d;00:00:00.440;;;;;Share - CT;;;;
3;;65;0d;00:00:45.160;0d;00:00:45.320;0d;00:00:00.200;;Avert - CT;;;;;;;
3;;66;0d;00:00:45.320;0d;00:00:45.560;0d;00:00:00.280;;;Refer - CT;;;;;;
3;;67;0d;00:00:45.480;0d;00:00:45.560;0d;00:00:00.120;;;;Follow - T;;;;;
3;;68;0d;00:00:45.560;0d;00:00:46.560;0d;00:00:01.040;;;;;Share - CT;;;;
3;;69;0d;00:00:46.640;0d;00:00:47.280;0d;00:00:00.680;Mutual - CT;;;;;;;;
3;;70;0d;00:00:47.320;0d;00:00:47.440;0d;00:00:00.160;;;Refer - CT;;;;;;
3;;71;0d;00:00:47.400;0d;00:00:47.440;0d;00:00:00.080;;;;Follow - T;;;;;
3;;72;0d;00:00:47.440;0d;00:00:47.920;0d;00:00:00.520;;;;;Share - CT;;;;
3;;73;0d;00:00:47.960;0d;00:00:48.000;0d;00:00:00.080;;Avert - CT;;;;;;;
3;;74;0d;00:00:48.000;0d;00:00:48.440;0d;00:00:00.480;;;Refer - CT;;;;;;
3;;75;0d;00:00:48.400;0d;00:00:48.440;0d;00:00:00.080;;;;Follow - T;;;;;
3;;76;0d;00:00:48.440;0d;00:00:49.440;0d;00:00:01.040;;;;;Share - CT;;;;
3;;77;0d;00:00:49.560;0d;00:00:49.800;0d;00:00:00.280;;;Refer -T;;;;;;
3;;78;0d;00:00:49.760;0d;00:00:49.800;0d;00:00:00.080;;;;Follow - CT;;;;;
3;;79;0d;00:00:49.800;0d;00:00:51.920;0d;00:00:02.160;;;;;Share - CT;;;;
3;;80;0d;00:00:51.960;0d;00:00:54.840;0d;00:00:02.920;;Avert - CT;;;;;;;
3;;81;0d;00:00:53.880;0d;00:00:55.800;0d;00:00:01.960;;;;;;;Supporting behavior- T;;language, gesture
3;;82;0d;00:00:54.840;0d;00:00:59.200;0d;00:00:04.400;;;;;Share - CT;;;;Auﬂerhalb Kamerasichtfeld
3;;83;0d;00:01:02.520;0d;00:01:02.760;0d;00:00:00.280;;;;;;;Supporting behavior- T;;gesture, sound
3;;84;0d;00:01:02.560;0d;00:01:02.800;0d;00:00:00.280;;;Refer -T;;;;;;
3;;85;0d;00:00:56.880;0d;00:00:58.520;0d;00:00:01.680;;;;;Share - CT;;;;
3;;86;0d;00:01:01.640;0d;00:01:02.680;0d;00:00:01.080;;;;;;;;Supporting behavior- T;
