Onset_Date;Onset_Time;Offset_Date;Offset_Time;Duration_Date;Duration_Time;Supporting behavior;Single_gaze;Share;Avert;Mutual;Refer;Follow;Transcript
0d;0;0d;0;0d;0,04;;;;;;;;
0d;0;0d;0;0d;0,04;;;;;;;;"Video: ""V:\RCT-Studie\Diagnostikvideos\FRA\105\T2\ESCS\FRA_105_T2_ESCS_Kam1.mp4"", OffsetMs: 9320<BR>Video: ""V:\RCT-Studie\Diagnostikvideos\FRA\105\T2\ESCS\FRA_105_T2_ESCS_Kam2.mp4"", OffsetMs: 26200<BR>"
0d;403,92;0d;404,08;0d;0,2;Supporting behavior- CT;;;;;;;
0d;403,56;0d;404,08;0d;0,56;;Single gaze - C;;;;;;
0d;404,12;0d;406,12;0d;2,04;;;Share - CT;;;;;<BR>
0d;406,12;0d;406,2;0d;0,12;;;;Avert - CT;;;;
0d;406,2;0d;406,36;0d;0,2;;Single gaze - C;;;;;;
0d;406,36;0d;417,12;0d;10,8;;;Share - CT;;;;;<BR>
0d;417,12;0d;417,16;0d;0,08;;;;Avert - CT;;;;
0d;417,16;0d;417,52;0d;0,4;;Single gaze - C;;;;;;
0d;417,56;0d;417,6;0d;0,08;;;;;Mutual - CT;;;
0d;417,64;0d;417,68;0d;0,08;;;;Avert - T;;;;
0d;417,64;0d;418;0d;0,4;;;;;;Refer -T;;
0d;418,04;0d;421,12;0d;3,12;;;Share - CT;;;;;<BR>
0d;417,76;0d;418;0d;0,28;;Single gaze - C;;;;;;
0d;421,12;0d;421,28;0d;0,2;;;;Avert - CT;;;;
0d;421,28;0d;423,12;0d;1,88;;Single gaze - C;;;;;;
0d;423,16;0d;423,44;0d;0,32;;;;;Mutual - CT;;;
0d;423,48;0d;423,52;0d;0,08;;;;Avert - CT;;;;
0d;423,52;0d;427,36;0d;3,88;;Single gaze - C;;;;;;
0d;427,36;0d;427,36;0d;0,04;;;;;;;;Kind nicht einsehbar<BR>
0d;427,88;0d;428,6;0d;0,76;;Single gaze - C;;;;;;
0d;428,6;0d;428,6;0d;0,04;;;;;;;;Kind nicht einsehbar<BR>
0d;427,84;0d;427,84;0d;0,04;;;;;;;;Kind nicht einsehbar<BR>
0d;431,56;0d;431,96;0d;0,44;;Single gaze - C;;;;;;
