Onset_Date;Onset_Time;Offset_Date;Offset_Time;ClassXYZ;Single_gaze;Avert;Refer;Follow;Share;Supporting_behavior;Mutual
0d;0.000;0d;0.000;;;;;;;;
0d;0.000;0d;0.000;;;;;;;;
0d;399.920;0d;401.720;;Single gaze - C;;;;;;
0d;401.720;0d;402.720;;;;;;Share - CT;;
0d;402.080;0d;402.720;;;;Refer - P;;;;
0d;402.080;0d;404.360;;;;;;;Supporting behavior- - P;
0d;402.680;0d;402.760;;;;;Follow - CP;;;
0d;402.760;0d;403.240;;;;;;Share - CP;;
0d;403.200;0d;403.280;;;Avert - CP;;;;;
0d;403.280;0d;417.160;;;;;;Share - CT;;
0d;417.160;0d;417.600;;;Avert - CT;;;;;
0d;417.600;0d;421.200;;;;;;Share - CT;;
0d;421.160;0d;421.240;;;Avert - CT;;;;;
0d;421.240;0d;428.600;;Single gaze - C;;;;;;
0d;432.760;0d;438.880;;Single gaze - C;;;;;;
0d;437.160;0d;438.000;;;;;;;Supporting behavior- T;
0d;439.720;0d;440.760;;Single gaze - C;;;;;;
0d;440.120;0d;441.840;;;;;;;Supporting behavior- T;
0d;440.800;0d;441.280;;;;;;Share - CT;;
0d;441.240;0d;441.280;;;Avert - CT;;;;;
0d;441.280;0d;441.840;;Single gaze - C;;;;;;
0d;447.160;0d;449.760;;Single gaze - C;;;;;;
0d;450.600;0d;452.120;;Single gaze - C;;;;;;
0d;452.160;0d;452.200;;;;Refer - CT;;;;
0d;452.240;0d;452.440;;;;;Follow - T;;;
0d;452.480;0d;454.160;;;;;;Share - CT;;
0d;454.120;0d;456.080;;;Avert - CT;;;;;
0d;456.120;0d;459.160;;;;;;Share - CT;;
0d;459.160;0d;459.640;;;Avert - CT;;;;;
0d;459.640;0d;461.640;;Single gaze - C;;;;;;
0d;465.520;0d;468.320;;Single gaze - C;;;;;;
0d;468.240;0d;468.280;;;;Refer - P;;;;
0d;468.280;0d;468.320;;;;;Follow - CP;;;
0d;468.280;0d;469.840;;;;;;;Supporting behavior- - P;
0d;468.320;0d;469.640;;;;;;Share - CP;;
0d;469.640;0d;469.680;;;Avert - CP;;;;;
0d;469.680;0d;471.120;;;;;;Share - CT;;
0d;471.120;0d;471.440;;;Avert - CT;;;;;
0d;471.440;0d;472.200;;Single gaze - C;;;;;;
0d;472.200;0d;473.560;;;;;;;;Mutual - CP
0d;473.560;0d;473.600;;;Avert - CT;;;;;
0d;473.640;0d;492.560;;Single gaze - C;;;;;;
0d;481.080;0d;485.400;;;;Refer - P;;;;
0d;481.080;0d;485.400;;;;;;;Supporting behavior- - P;
0d;492.600;0d;494.880;;;;;;Share - CT;;
0d;494.880;0d;512.760;;Single gaze - C;;;;;;
0d;512.200;0d;512.760;;;;Refer - P;;;;
0d;512.480;0d;513.520;;;;;;;Supporting behavior- - P;
0d;512.800;0d;515.120;;;;;;Share - CT;;
0d;515.120;0d;515.160;;;Avert - CT;;;;;
0d;515.160;0d;517.840;;Single gaze - C;;;;;;
0d;517.880;0d;517.960;;;;;;Share - CT;;
0d;517.960;0d;520.480;;;Avert - CT;;;;;
0d;520.480;0d;522.840;;Single gaze - C;;;;;;
0d;522.840;0d;523.080;;;;;;;;Mutual - CT
0d;523.080;0d;523.960;;;Avert - CT;;;;;
0d;524.000;0d;532.120;;Single gaze - C;;;;;;
0d;532.160;0d;538.440;;;;;;Share - CT;;
0d;538.440;0d;538.800;;;Avert - CT;;;;;
0d;538.840;0d;545.280;;;;;;Share - CT;;
0d;545.240;0d;545.600;;;Avert - CT;;;;;
0d;545.600;0d;546.000;;;;;;;;Mutual - CP
0d;546.000;0d;546.040;;;Avert - P;;;;;
0d;546.040;0d;546.240;;;;Refer - P;;;;
0d;546.040;0d;546.400;;;;;;;Supporting behavior- - P;
0d;546.200;0d;546.480;;;;;Follow - CP;;;
0d;546.520;0d;550.160;;;;;;Share - CP;;
0d;546.560;0d;582.040;;;;;;Share - CT;;
0d;550.200;0d;550.240;;;Avert - P;;;;;
0d;582.080;0d;582.800;;;Avert - CT;;;;;
0d;582.840;0d;582.960;;;;;;;;Mutual - CP
0d;582.960;0d;583.360;;;Avert - CT;;;;;
0d;583.400;0d;584.880;;Single gaze - C;;;;;;
0d;584.920;0d;589.720;;;;;;Share - CT;;
0d;589.720;0d;590.280;;;Avert - CT;;;;;
0d;590.280;0d;600.120;;Single gaze - C;;;;;;
0d;592.360;0d;605.360;;;;;;;Supporting behavior- T;
0d;599.280;0d;600.120;;;;Refer -T;;;;
0d;600.040;0d;600.120;;;;;Follow - CT;;;
0d;600.120;0d;602.400;;;;;;Share - CT;;
0d;602.360;0d;602.920;;;Avert - CT;;;;;
0d;602.960;0d;604.240;;Single gaze - C;;;;;;
0d;604.280;0d;605.120;;;;;;Share - CT;;
0d;605.080;0d;605.120;;;Avert -T;;;;;
0d;605.080;0d;606.000;;Single gaze - C;;;;;;
0d;606.000;0d;615.760;;;;;;Share - CT;;
0d;615.720;0d;616.560;;;Avert - CT;;;;;
0d;616.560;0d;617.120;;;;;;;;Mutual - CP
0d;617.160;0d;618.000;;Single gaze - C;;;;;;
0d;618.040;0d;619.200;;;;;;;;Mutual - CP
0d;619.160;0d;619.440;;;Avert - P;;;;;
0d;619.160;0d;634.240;;Single gaze - C;;;;;;
0d;633.440;0d;634.600;;;;Refer - P;;;;
0d;633.840;0d;635.480;;;;;;;Supporting behavior- - P;
0d;634.280;0d;634.560;;;;;Follow - CP;;;
0d;634.600;0d;638.360;;Single gaze - C;;;;;;
0d;638.440;0d;640.600;;;;;;;;Mutual - CP
0d;640.560;0d;640.640;;;Avert - CP;;;;;
0d;640.640;0d;650.240;;Single gaze - C;;;;;;
0d;650.280;0d;651.160;;;;;;Share - CT;;
0d;651.200;0d;651.240;;;Avert - CT;;;;;
0d;651.280;0d;658.480;;Single gaze - C;;;;;;
0d;658.520;0d;659.600;;;;;;;;Mutual - CP
0d;659.600;0d;659.640;;;Avert - CT;;;;;
0d;659.680;0d;668.120;;Single gaze - C;;;;;;
0d;668.160;0d;671.200;;;;;;;;Mutual - CP
0d;671.200;0d;671.520;;;Avert - CP;;;;;
0d;671.560;0d;672.080;;;;;;Share - CT;;
0d;672.080;0d;672.160;;;Avert - CT;;;;;
0d;672.200;0d;674.640;;Single gaze - C;;;;;;
0d;674.680;0d;676.800;;;;;;Share - CT;;
0d;676.760;0d;677.000;;;Avert - CT;;;;;
0d;677.040;0d;680.280;;Single gaze - C;;;;;;
0d;1403.520;0d;1421.880;;;;;;Share - CT;;
0d;1421.840;0d;1422.160;;;Avert - CT;;;;;
0d;1422.200;0d;1426.640;;Single gaze - C;;;;;;
0d;1426.680;0d;1427.960;;;;;;Share - CT;;
0d;1427.960;0d;1428.000;;;Avert - CT;;;;;
0d;1428.040;0d;1430.280;;Single gaze - C;;;;;;
0d;1430.320;0d;1436.200;;;;;;Share - CT;;
0d;1436.200;0d;1436.480;;;Avert - CT;;;;;
0d;1436.480;0d;1438.840;;Single gaze - C;;;;;;
0d;1438.880;0d;1449.240;;;;;;Share - CT;;
0d;1449.240;0d;1449.560;;;Avert - CT;;;;;
0d;1449.600;0d;1450.600;;Single gaze - C;;;;;;
0d;1450.640;0d;1457.960;;;;;;Share - CT;;
0d;1457.960;0d;1458.040;;;Avert - CT;;;;;
0d;1458.080;0d;1458.360;;Single gaze - C;;;;;;
0d;1458.400;0d;1475.040;;;;;;Share - CT;;
0d;1475.000;0d;1475.200;;;Avert - CT;;;;;
0d;1475.240;0d;1476.440;;Single gaze - C;;;;;;
0d;1476.480;0d;1489.120;;;;;;Share - CT;;
0d;1489.080;0d;1492.320;;;Avert - CT;;;;;
0d;1492.360;0d;1499.040;;;;;;Share - CT;;
0d;1516.960;0d;1537.640;;;;;;Share - CT;;
0d;1537.600;0d;1537.680;;;Avert - CT;;;;;
0d;1537.720;0d;1540.760;;Single gaze - C;;;;;;
0d;1540.800;0d;1543.120;;;;;;Share - CT;;
0d;1543.080;0d;1543.160;;;Avert - CT;;;;;
0d;1543.200;0d;1546.920;;Single gaze - C;;;;;;
0d;1546.960;0d;1560.880;;;;;;Share - CT;;
0d;1554.600;0d;1558.200;;;;;;;Supporting behavior- T;
0d;1560.840;0d;1560.920;;;Avert - CT;;;;;
0d;1560.960;0d;1563.760;;Single gaze - C;;;;;;
0d;1563.800;0d;1564.800;;;;;;Share - CT;;
0d;1564.760;0d;1564.800;;;Avert - CT;;;;;
0d;1564.840;0d;1569.760;;Single gaze - C;;;;;;
0d;1569.800;0d;1576.200;;;;;;Share - CT;;
0d;1570.200;0d;1573.800;;;;;;;Supporting behavior- T;
0d;1575.000;0d;1576.760;;;;;;;Supporting behavior- T;
0d;1576.160;0d;1576.200;;;Avert - CT;;;;;
0d;1576.240;0d;1581.880;;Single gaze - C;;;;;;
0d;1570.200;0d;1571.120;;;;;;;Supporting behavior- - P;
0d;1581.920;0d;1582.240;;;;;;Share - CT;;
0d;1582.200;0d;1582.280;;;Avert - CT;;;;;
0d;1582.320;0d;1599.000;;Single gaze - C;;;;;;
0d;1604.200;0d;1604.280;;;Avert -T;;;;;
0d;1604.240;0d;1605.120;;Single gaze - C;;;;;;
0d;1605.160;0d;1617.400;;;;;;Share - CT;;
0d;1590.720;0d;1593.480;;;;;;;Supporting behavior- T;
0d;1599.040;0d;1604.200;;;;;;Share - CT;;
